Sample ID,Material,Description,14C Lab ID,DatBP,Sta,Comment,δ13C‰ VPDB,δ15N‰ AIR,C:N,Sr Lab ID,Sr87/Sr86,,,,,,,,,,,,,,
NEO1,bone,nd,OxA-533,6080,80,,,,,,,,,,,,,,,,,,,,
NEO1,bone,phalanx,,,,,-12.3,16.1,,,,,,,,,,,,,,,,,
NEO1,bone,ulna,,,,,-10.7,16.2,,,,,,,,,,,,,,,,,
NEO1,bone,nd,OxA-118,6280,130,,,,,,,,,,,,,,,,,,,,
NEO1,bone,nd,K-3559,6030,80,,,,,,,,,,,,,,,,,,,,
NEO1,bone,femur dxt,,,,,,,,,,,,,,,,,,,,,,,
NEO3,bone,"costa, vertebra etc",K-3921,5540,65,,-12.6,16.1,3.3,,,,,,,,,,,,,,,,
NEO3,bone,femur,,,,,-11.2,,,,,,,,,,,,,,,,,,
NEO5,bone,femur dxt,,,,,,,,,,,,,,,,,,,,,,,
NEO7,bone,femur dxt,,,,,,,,,,,,,,,,,,,,,,,
NEO8,bone,femur dxt,AAR-8552,5360,50,,-11.7,12.7,3.2,,,,,,,,,,,,,,,,
NEO8,bone,costae,K-3622,5280,50,,,,,,,,,,,,,,,,,,,,
NEO12,bone,left tibia,,,,,,,,,,,,,,,,,,,,,,,
NEO12,bone,costae,AAR-9342,6905,55,,-11.1,16.3,,,,,,,,,,,,,,,,,
NEO13,bone,cranium,AAR-4554,8680,40,,-20.3,11.5,3.2,,,,,,,,,,,,,,,,
NEO17,bone,cranium,Ua-47892,8446,51,,-13.5,19.8,,,,,,,,,,,,,,,,,
NEO18,tooth,2 teeth,,,,,,,,,,,,,,,,,,,,,,,
NEO18,bone,cranium,Ua-10295,8835,90,,,,,,,,,,,,,,,,,,,,
NEO18,tooth,M2,HAN01,,,,-18.3,11.5,3.2,,,,,,,,,,,,,,,,
NEO18,tooth,M1,HAN02,,,,-19,10.9,3.2,,,,,,,,,,,,,,,,
NEO18,bone,cranium,HAN03,,,,-19.7,9.9,3.2,,,,,,,,,,,,,,,,
NEO19,tooth,M3 mand dxt,,,,,,,,F10535,0.709624,,,,,,,,,,,,,,
NEO19,tooth,M1 mand dxt,,,,,,,,,,,,,,,,,,,,,,,
NEO19,bone,mandible,AAR-11355,7542,42,,-15,11.8,,,,,,,,,,,,,,,,,
NEO23,tooth,nd,,,,,,,,,,,,,,,,,,,,,,,
NEO25,tooth+bone,"M2 max dxt, maxilla",AAR-21424,4464,29,maxilla analysed,-19.35,11.51,,,,,,,,,,,,,,,,,
NEO27,tooth,nd,,,,,,,,,,,,,,,,,,,,,,,
NEO27,bone,femur,Ua-6629,8645,75,,,,,,,,,,,,,,,,,,,,
NEO27,bone,femur,,,,Boethius & Ahlström no 16,-18.8,11,3.2,,,,,,,,,,,,,,,,
NEO28,bone,costa,AAR-21344,4752,29,,-20.16,8.12,,,,,,,,,,,,,,,,,
NEO28,tooth+bone,"M3 mand sin, bone",,,,,,,,,,,,,,,,,,,,,,,
NEO28,bone,femur sin,AAR-21343,4789,25,,-20.58,9.6,,,,,,,,,,,,,,,,,
NEO29,tooth+bone,"PM2 mand sin, ulna sin",UBA-35699,4843,40,,-20.1,9.1,3.21,F10534,0.710807,,,,,,,,,,,,,,
NEO33,bone,maxilla,UBA-39121,4565,29,,-20,10.6,3.22,,,,,,,,,,,,,,,,
NEO33,bone,maxilla,UBA-29904,4464,52,,-20.2,9.9,3.2,,,,,,,,,,,,,,,,
NEO33,tooth,PM1 max sin,,,,,,,,F10741,0.71343,,,,,,,,,,,,,,
NEO35,tooth,M1 mand sin,,,,,,,,,,,,,,,,,,,,,,,
NEO36,bone,Pars petrosa,UBA-35700,4530,64,,-19.2,12.1,3.23,,,,,,,,,,,,,,,,
NEO38,bone,Pars petrosa,UBA-35702,4443,40,,-20.4,8.8,3.22,,,,,,,,,,,,,,,,
NEO39,bone,Pars petrosa,UBA-35703,4447,37,,-20.6,10.6,3.24,,,,,,,,,,,,,,,,
NEO41,tooth,nd,UBA-37876,4838,29,,-19.3,10.6,3.17,,,,,,,,,,,,,,,,
NEO43a,tooth,nd,UBA-37877,4901,37,,-19.1,10.6,3.2,F10494,0.709881,,,,,,,,,,,,,,
NEO43b,bone,Pars petrosa dxt,UBA-39551,4488,38,,-19,10.6,3.22,F10744,0.70988,,,,,,,,,,,,,,
NEO43b,bone,Pars petrosa dxt,UCIAMS-232708,4725,15,,-19.1,11.1,3.2,F10744,0.70988,,,,,,,,,,,,,,
NEO44,tooth,nd,UBA-39934,3987,34,,-19.7,12.3,,,,,,,,,,,,,,,,,
NEO46,tooth,nd,UBA-39935,4913,32,,-18.2,12.2,3.16,,,,,,,,,,,,,,,,
NEO46,tooth,nd,Lu-3652,4990,80,,,,,,,,,,,,,,,,,,,,
NEO51,tooth,nd,OxA-39287,3955,20,,-20.44,10.1,3.2,,,,,,,,,,,,,,,,
NEO52,tooth,nd,,,,,,,,,,,,,,,,,,,,,,,
NEO52,bone,nd,Ua-34092,3535,40,,,,,,,,,,,,,,,,,,,,
NEO57,tooth,nd,GIN-12853,3970,40,,,,,,,,,,,,,,,,,,,,
NEO57,tooth,nd,OxA-39590,4327,24,,-18.35,13.8,3.2,,,,,,,,,,,,,,,,
NEO60,tooth,2 incisors,UBA-39937,3289,31,,-15.5,17.4,3.17,,,,,,,,,,,,,,,,
NEO61,tooth,PM+incisor,UBA-39938,3358,28,,-13.7,20.5,3.22,,,,,,,,,,,,,,,,
NEO62,bone,Pars petrosa,UBA-39939,3301,40,,-15.1,17.7,3.2,,,,,,,,,,,,,,,,
NEO63,tooth,nd,UBA-39940,6656,34,,-21.7,13.4,3.15,,,,,,,,,,,,,,,,
NEO64,tooth,nd,UBA-39941,5744,41,,-22,15.8,3.15,,,,,,,,,,,,,,,,
NEO65,tooth,nd,UBA-39942,4516,33,,-20.1,12.4,3.12,,,,,,,,,,,,,,,,
NEO67,tooth,nd,UBA-39943,6640,55,,-20.3,13.8,3.16,,,,,,,,,,,,,,,,
NEO68,tooth,nd,UBA-39944,4555,37,,-21.2,12.8,3.16,,,,,,,,,,,,,,,,
NEO70,tooth,One canine and four molars,UCIAMS-147675,2880,25,from same individual,-17.9,12,3.18,,,,,,,,,,,,,,,,
NEO72,bone,Pars petrosa,UBA-39945,8065,76,,-20.8,14.9,3.16,,,,,,,,,,,,,,,,
NEO73,bone,Pars petrosa,UBA-39946,7317,62,,-20.2,15.4,3.15,,,,,,,,,,,,,,,,
NEO75,tooth,M3,UBA-39947,6654,40,,-21.3,15,3.1,,,,,,,,,,,,,,,,
NEO75,tooth,M3,UBA-23603,6656,50,,,,,,,,,,,,,,,,,,,,
NEO76,tooth,nd,UBA-39948,4225,29,,-22.9,14,3.14,,,,,,,,,,,,,,,,
NEO77,tooth,nd,UBA-39949,4698,32,,-20.2,13.9,3.13,,,,,,,,,,,,,,,,
NEO78,tooth,nd,UBA-39950,6560,49,,-19.6,13.9,3.12,,,,,,,,,,,,,,,,
NEO79,tooth,nd,UBA-39951,4591,51,,-23.4,14.7,3.13,,,,,,,,,,,,,,,,
NEO80,tooth,nd,UBA-39952,4757,54,,-20.1,13.7,3.12,,,,,,,,,,,,,,,,
NEO81,tooth,nd,UBA-39953,3588,29,,-21.5,14.6,3.19,,,,,,,,,,,,,,,,
NEO83,tooth,nd,UBA-39955,5433,37,,-20.9,15.3,3.19,,,,,,,,,,,,,,,,
NEO87,tooth,mandibula,KIA-51435,7663,44,,-19.3,12.9,3.2,,,,,,,,,,,,,,,,
NEO87,tooth,M2 mand sin,UBA-39956,,,failed,,,,,,,,,,,,,,,,,,,
NEO88,tooth,I max dxt,UBA-39957,7533,38,,-20.8,13.9,3.17,,,,,,,,,,,,,,,,
NEO88,bone,maxilla,KIA-53296,7581,41,,-20.6,12.3,3.2,,,,,,,,,,,,,,,,
NEO91,tooth,M1 mand sin,UBA-39958,8211,40,,-18.3,12.1,3.21,,,,,,,,,,,,,,,,
NEO91,bone,sphenoidale sin,AAR-11311,8215,55,isotopes failed,,,,,,,,,,,,,,,,,,,
NEO91,tooth,M3 mand sin,,,,,,,,F10524,0.709037,,,,,,,,,,,,,,
NEO92,tooth,M3 mand sin,UBA-37878,3803,31,,-21.2,9.5,3.16,,,,,,,,,,,,,,,,
NEO93,tooth,M3 max sin,UBA-37879,3512,33,,-19.2,10.1,3.16,,,,,,,,,,,,,,,,
NEO100,bone,nd,UCIAMS-147672,9080,35,,-23.3,12.6,3.22,,,,,,,,,,,,,,,,
NEO102,bone,nd,UCIAMS-147679,5280,30,,-20.2,12.5,3.22,,,,,,,,,,,,,,,,
NEO110,bone,nd,UBA-39959,6986,52,,-17,12.1,3.19,,,,,,,,,,,,,,,,
NEO113,bone,nd,UBA-40082,6627,39,,-21.3,11.1,3.17,,,,,,,,,,,,,,,,
NEO115,bone,nd,UBA-33756,6943,51,,-18.8,11.4,3.15,,,,,,,,,,,,,,,,
NEO116,bone,nd,UBA-33757,7378,72,,-19.5,10.5,3.14,,,,,,,,,,,,,,,,
NEO117,bone,nd,UBA-33758,7064,63,,-19.8,12.2,3.14,,,,,,,,,,,,,,,,
NEO119,bone,pars petrosa,UBA-39961,3936,40,,-20.2,10,3.24,,,,,,,,,,,,,,,,
NEO120,bone,pars petrosa,UBA-39662,3162,45,,-19.5,10.9,3.23,,,,,,,,,,,,,,,,
NEO121,bone,pars petrosa,UBA-39963,4002,60,,-20.3,8.5,3.26,,,,,,,,,,,,,,,,
NEO122,tooth,M2 mand sin,UBA-38222,7415,53,,-16.9,12.2,3.15,,,,,,,,,,,,,,,,
NEO123,tooth,M3 max dxt,UBA-37880,7505,36,,-15.5,13.2,3.16,,,,,,,,,,,,,,,,
NEO128,tooth,M2,UBA-39964,6259,45,,-19.9,9.6,3.26,,,,,,,,,,,,,,,,
